trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,6/8/2022,fishing,1484.283333,0,FALSE,3837,0.571802652,0.002898971,0.002898971,NA,0,0,0.002898971,159,23,6,2022
Lower Feather River RST RL,6/9/2022,fishing,1395.283333,0,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,0,0,0.002898971,160,23,6,2022
Lower Feather River RST RL,6/13/2022,Not fishing,1375.716667,1.687441762,TRUE,3824,0.5607813,0.002898971,0.002898971,NA,582,1,0.002898971,164,24,6,2022
Lower Feather River RST RL,6/14/2022,fishing,1409.883333,0,FALSE,3785,0.527717246,0.002898971,0.002898971,NA,0,0,0.002898971,165,24,6,2022
Lower Feather River RST RL,6/15/2022,fishing,1469.416667,1,FALSE,3772,0.516695895,0.002898971,0.002898971,NA,345,0,0.002898971,166,24,6,2022
Lower Feather River RST RL,6/16/2022,fishing,1485.483333,0,FALSE,3772,0.516695895,0.002898971,0.002898971,NA,0,0,0.002898971,167,24,6,2022
Lower Feather River RST RL,6/17/2022,fishing,1365.133333,0,FALSE,2694,-0.39722847,0.002898971,0.002898971,NA,0,0,0.002898971,168,24,6,2022
Lower Feather River RST RL,6/18/2022,fishing,1454.816667,0,FALSE,2706,-0.387054915,0.002898971,0.002898971,NA,0,0,0.002898971,169,24,6,2022
Lower Feather River RST RL,6/19/2022,fishing,1485,0,FALSE,2694,-0.39722847,0.002898971,0.002898971,NA,0,0,0.002898971,170,24,6,2022
Lower Feather River RST RL,6/20/2022,fishing,1365.25,0,FALSE,2717,-0.377729156,0.002898971,0.002898971,NA,0,0,0.002898971,171,25,6,2022
Lower Feather River RST RL,6/21/2022,fishing,1484.783333,0,FALSE,2694,-0.39722847,0.002898971,0.002898971,NA,0,0,0.002898971,172,25,6,2022
Lower Feather River RST RL,6/22/2022,fishing,1410.3,0,FALSE,NA,NA,NA,NA,NA,NA,0,NA,173,25,6,2022
Lower Feather River RST RR,1/20/2022,fishing,1334.183333,7,FALSE,1072,-1.772353999,0.01304636,0.01304636,NA,537,0,0.01304636,20,3,1,2022
